7450-243487
OS REV: 1.05 Sensor Cal: 1677879675
"Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()"
"1690266060,+3.52,+24.772, +8.091,+0.907"
"1690266660,+3.52,+26.466, +7.876,+0.908"
"1690267260,+3.52,+29.844, +7.428,+0.907"
"1690267860,+3.51,+34.302, +6.816,+0.901"
"1690268460,+3.51,+36.468, +6.488,+0.895"
"1690269060,+3.51,+36.459, +6.629,+0.894"
"1690269660,+3.51,+36.450, +6.738,+0.896"
"1690270260,+3.52,+34.818, +7.101,+0.900"
"1690270860,+3.52,+34.027, +7.308,+0.904"
"1690271460,+3.52,+34.089, +7.740,+0.905"
"1690272060,+3.52,+34.151, +7.958,+0.904"
"1690272660,+3.53,+34.284, +8.006,+0.904"
"1690273260,+3.53,+34.426, +8.212,+0.904"
"1690273860,+3.53,+34.551, +8.373,+0.904"
