Plot Title: 21661329,,,,,,,,
#,"Date Time, GMT+03:00","DO conc, mg/L (LGR S/N: 21661329, SEN S/N: 21661329)","Temp, °C (LGR S/N: 21661329, SEN S/N: 21661329)",Sensor Data Error (LGR S/N: 21661329),Coupler Attached (LGR S/N: 21661329),Host Connected (LGR S/N: 21661329),Stopped (LGR S/N: 21661329),End Of File (LGR S/N: 21661329)
57,7/25/2023 14:40,9.97,35.7,21661329,copper,,,
58,7/25/2023 14:45,9.94,35.74,21661329,copper,,,
59,7/25/2023 14:50,10.09,35.84,21661329,copper,,,
60,7/25/2023 14:55,10.27,35.94,21661329,copper,,,
61,7/25/2023 15:00,10.27,35.94,21661329,copper,,,
62,7/25/2023 15:05,10.62,36,21661329,copper,,,
63,7/25/2023 15:10,10.35,36,21661329,copper,,,
64,7/25/2023 15:15,10.66,36.06,21661329,copper,,,
65,7/25/2023 15:20,10.53,36.04,21661329,copper,,,
66,7/25/2023 15:25,10.43,36.06,21661329,copper,,,
67,7/25/2023 15:30,10.76,36.14,21661329,copper,,,
68,7/25/2023 15:35,10.59,36.2,21661329,copper,,,
69,7/25/2023 15:40,10.6,36.26,21661329,copper,,,
70,7/25/2023 15:45,10.63,36.26,21661329,copper,,,
71,7/25/2023 15:50,10.43,36.28,21661329,copper,,,
72,7/25/2023 15:55,10.61,36.24,21661329,copper,,,
73,7/25/2023 16:00,10.52,36.22,21661329,copper,,,
74,7/25/2023 16:05,10.09,36.06,21661329,copper,,,
75,7/25/2023 16:10,10.32,36,21661329,copper,,,
76,7/25/2023 16:15,10.09,36,21661329,copper,,,
77,7/25/2023 16:20,10.16,35.98,21661329,copper,,,
78,7/25/2023 16:25,10.23,35.94,21661329,copper,,,
79,7/25/2023 16:30,9.99,35.84,21661329,copper,,,
80,7/25/2023 16:35,10.1,35.84,21661329,copper,,,
81,7/25/2023 16:40,9.81,35.8,21661329,copper,,,
82,7/25/2023 16:45,9.97,35.8,21661329,copper,,,
83,7/25/2023 16:50,9.75,35.76,21661329,copper,,,
84,7/25/2023 16:55,9.51,35.68,21661329,copper,,,
85,7/25/2023 17:00,9.57,35.68,21661329,copper,,,
86,7/25/2023 17:05,9.68,35.7,21661329,copper,,,
87,7/25/2023 17:10,9.89,35.68,21661329,copper,,,
88,7/25/2023 17:15,9.96,35.66,21661329,copper,,,
89,7/25/2023 17:20,9.74,35.66,21661329,copper,,,
90,7/25/2023 17:25,9.7,35.64,21661329,copper,,,
91,7/25/2023 17:30,9.87,35.66,21661329,copper,,,
92,7/25/2023 17:35,9.73,35.56,21661329,copper,,,
93,7/25/2023 17:40,9.78,35.6,21661329,copper,,,
94,7/25/2023 17:45,9.98,35.62,21661329,copper,,,
95,7/25/2023 17:50,9.36,35.48,21661329,copper,,,
96,7/25/2023 17:55,9.29,35.4,21661329,copper,,,
97,7/25/2023 18:00,9.36,35.4,21661329,copper,,,
98,7/25/2023 18:05,9.43,35.34,21661329,copper,,,
99,7/25/2023 18:10,9.22,35.32,21661329,copper,,,
100,7/25/2023 18:15,9.24,35.32,21661329,copper,,,
101,7/25/2023 18:20,9.36,35.32,21661329,copper,,,
102,7/25/2023 18:25,9.4,35.3,21661329,copper,,,
103,7/25/2023 18:30,9.14,35.22,21661329,copper,,,
104,7/25/2023 18:35,9.41,35.26,21661329,copper,,,
105,7/25/2023 18:40,9.29,35.24,21661329,copper,,,
106,7/25/2023 18:45,9.47,35.24,21661329,copper,,,
107,7/25/2023 18:50,9.46,35.18,21661329,copper,,,
108,7/25/2023 18:55,9.23,35.14,21661329,copper,,,
109,7/25/2023 19:00,8.64,34.98,21661329,copper,,,
110,7/25/2023 19:05,8.69,34.96,21661329,copper,,,
111,7/25/2023 19:10,8.7,34.9,21661329,copper,,,
112,7/25/2023 19:15,9.47,34.94,21661329,copper,,,
113,7/25/2023 19:20,9.19,34.86,21661329,copper,,,
114,7/25/2023 19:25,9.4,34.82,21661329,copper,,,
115,7/25/2023 19:30,9.23,34.74,21661329,copper,,,
116,7/25/2023 19:35,8.16,34.56,21661329,copper,,,
117,7/25/2023 19:40,8.06,34.44,21661329,copper,,,
118,7/25/2023 19:45,7.93,34.36,21661329,copper,,,
119,7/25/2023 19:50,7.6,34.26,21661329,copper,,,
120,7/25/2023 19:55,7.62,34.2,21661329,copper,,,
121,7/25/2023 20:00,7.26,34.16,21661329,copper,,,
122,7/25/2023 20:05,7.22,34.12,21661329,copper,,,
123,7/25/2023 20:10,7.38,34.12,21661329,copper,,,
124,7/25/2023 20:15,7.29,34.1,21661329,copper,,,
125,7/25/2023 20:20,7.21,34.06,21661329,copper,,,
126,7/25/2023 20:25,7.34,34.04,21661329,copper,,,
127,7/25/2023 20:30,7.62,34.08,21661329,copper,,,
128,7/25/2023 20:35,7.69,34.08,21661329,copper,,,
129,7/25/2023 20:40,7.22,34,21661329,copper,,,
130,7/25/2023 20:45,7.17,33.92,21661329,copper,,,
131,7/25/2023 20:50,7.03,33.88,21661329,copper,,,
132,7/25/2023 20:55,6.64,33.82,21661329,copper,,,
133,7/25/2023 21:00,6.51,33.78,21661329,copper,,,
134,7/25/2023 21:05,6.64,33.78,21661329,copper,,,
135,7/25/2023 21:10,6.55,33.76,21661329,copper,,,
136,7/25/2023 21:15,6.56,33.74,21661329,copper,,,
137,7/25/2023 21:20,6.9,33.76,21661329,copper,,,
138,7/25/2023 21:25,6.89,33.76,21661329,copper,,,
139,7/25/2023 21:30,6.99,33.78,21661329,copper,,,
140,7/25/2023 21:35,6.99,33.8,21661329,copper,,,
141,7/25/2023 21:40,7.22,33.84,21661329,copper,,,
142,7/25/2023 21:45,7.34,33.84,21661329,copper,,,
143,7/25/2023 21:50,7.41,33.84,21661329,copper,,,
144,7/25/2023 21:55,7.41,33.82,21661329,copper,,,
145,7/25/2023 22:00,7.18,33.82,21661329,copper,,,
146,7/25/2023 22:05,7.33,33.82,21661329,copper,,,
147,7/25/2023 22:10,7.39,33.8,21661329,copper,,,
148,7/25/2023 22:15,7.56,33.8,21661329,copper,,,
149,7/25/2023 22:20,7.51,33.78,21661329,copper,,,
150,7/25/2023 22:25,7.36,33.78,21661329,copper,,,
151,7/25/2023 22:30,7.42,33.78,21661329,copper,,,
152,7/25/2023 22:35,7.45,33.74,21661329,copper,,,
153,7/25/2023 22:40,7.52,33.72,21661329,copper,,,
154,7/25/2023 22:45,7.44,33.72,21661329,copper,,,
155,7/25/2023 22:50,7.45,33.68,21661329,copper,,,
156,7/25/2023 22:55,7.46,33.68,21661329,copper,,,
157,7/25/2023 23:00,7.44,33.66,21661329,copper,,,
158,7/25/2023 23:05,7.49,33.66,21661329,copper,,,
159,7/25/2023 23:10,7.45,33.64,21661329,copper,,,
160,7/25/2023 23:15,7.38,33.66,21661329,copper,,,
161,7/25/2023 23:20,7.24,33.66,21661329,copper,,,
162,7/25/2023 23:25,6.84,33.66,21661329,copper,,,
163,7/25/2023 23:30,6.79,33.7,21661329,copper,,,
164,7/25/2023 23:35,6.83,33.74,21661329,copper,,,
165,7/25/2023 23:40,7.06,33.76,21661329,copper,,,
166,7/25/2023 23:45,7.42,33.78,21661329,copper,,,
167,7/25/2023 23:50,7.23,33.8,21661329,copper,,,
168,7/25/2023 23:55,7.38,33.8,21661329,copper,,,
169,7/26/2023 0:00,7.48,33.78,21661329,copper,,,
170,7/26/2023 0:05,7.33,33.8,21661329,copper,,,
171,7/26/2023 0:10,7.22,33.84,21661329,copper,,,
172,7/26/2023 0:15,6.95,33.88,21661329,copper,,,
173,7/26/2023 0:20,6.8,33.9,21661329,copper,,,
174,7/26/2023 0:25,6.56,33.9,21661329,copper,,,
175,7/26/2023 0:30,6.55,33.86,21661329,copper,,,
176,7/26/2023 0:35,6.6,33.78,21661329,copper,,,
177,7/26/2023 0:40,6.52,33.7,21661329,copper,,,
178,7/26/2023 0:45,6.77,33.64,21661329,copper,,,
179,7/26/2023 0:50,6.86,33.6,21661329,copper,,,
180,7/26/2023 0:55,6.88,33.62,21661329,copper,,,
181,7/26/2023 1:00,6.99,33.62,21661329,copper,,,
182,7/26/2023 1:05,7.08,33.62,21661329,copper,,,
183,7/26/2023 1:10,7.14,33.62,21661329,copper,,,
184,7/26/2023 1:15,7.15,33.62,21661329,copper,,,
185,7/26/2023 1:20,7.13,33.58,21661329,copper,,,
186,7/26/2023 1:25,7.15,33.56,21661329,copper,,,
187,7/26/2023 1:30,7.12,33.56,21661329,copper,,,
188,7/26/2023 1:35,7.11,33.54,21661329,copper,,,
189,7/26/2023 1:40,7.08,33.54,21661329,copper,,,
190,7/26/2023 1:45,7.04,33.54,21661329,copper,,,
191,7/26/2023 1:50,6.6,33.54,21661329,copper,,,
192,7/26/2023 1:55,6.48,33.52,21661329,copper,,,
193,7/26/2023 2:00,6.25,33.5,21661329,copper,,,
194,7/26/2023 2:05,6.48,33.38,21661329,copper,,,
195,7/26/2023 2:10,6.55,33.28,21661329,copper,,,
196,7/26/2023 2:15,6.47,33.18,21661329,copper,,,
197,7/26/2023 2:20,6.4,33.1,21661329,copper,,,
198,7/26/2023 2:25,6.36,33.06,21661329,copper,,,
199,7/26/2023 2:30,6.23,33.04,21661329,copper,,,
200,7/26/2023 2:35,6.13,33.02,21661329,copper,,,
201,7/26/2023 2:40,6.06,33,21661329,copper,,,
202,7/26/2023 2:45,6,32.98,21661329,copper,,,
203,7/26/2023 2:50,5.93,32.96,21661329,copper,,,
204,7/26/2023 2:55,5.79,32.94,21661329,copper,,,
205,7/26/2023 3:00,5.69,32.92,21661329,copper,,,
206,7/26/2023 3:05,5.68,32.92,21661329,copper,,,
207,7/26/2023 3:10,5.61,32.92,21661329,copper,,,
208,7/26/2023 3:15,5.52,32.9,21661329,copper,,,
209,7/26/2023 3:20,5.5,32.92,21661329,copper,,,
210,7/26/2023 3:25,5.46,32.92,21661329,copper,,,
211,7/26/2023 3:30,5.48,32.92,21661329,copper,,,
212,7/26/2023 3:35,5.41,32.92,21661329,copper,,,
213,7/26/2023 3:40,5.5,32.94,21661329,copper,,,
214,7/26/2023 3:45,5.58,32.94,21661329,copper,,,
215,7/26/2023 3:50,5.74,32.94,21661329,copper,,,
216,7/26/2023 3:55,5.8,32.94,21661329,copper,,,
217,7/26/2023 4:00,5.84,32.94,21661329,copper,,,
218,7/26/2023 4:05,5.74,32.94,21661329,copper,,,
219,7/26/2023 4:10,5.66,32.94,21661329,copper,,,
220,7/26/2023 4:15,5.59,32.92,21661329,copper,,,
221,7/26/2023 4:20,5.84,32.92,21661329,copper,,,
222,7/26/2023 4:25,5.79,32.92,21661329,copper,,,
223,7/26/2023 4:30,5.69,32.9,21661329,copper,,,
224,7/26/2023 4:35,5.7,32.9,21661329,copper,,,
225,7/26/2023 4:40,5.76,32.88,21661329,copper,,,
226,7/26/2023 4:45,5.73,32.88,21661329,copper,,,
227,7/26/2023 4:50,5.63,32.86,21661329,copper,,,
228,7/26/2023 4:55,5.57,32.84,21661329,copper,,,
229,7/26/2023 5:00,5.61,32.84,21661329,copper,,,
230,7/26/2023 5:05,5.5,32.84,21661329,copper,,,
231,7/26/2023 5:10,5.57,32.86,21661329,copper,,,
232,7/26/2023 5:15,5.62,32.88,21661329,copper,,,
233,7/26/2023 5:20,5.67,32.9,21661329,copper,,,
234,7/26/2023 5:25,5.72,32.92,21661329,copper,,,
235,7/26/2023 5:30,5.78,32.92,21661329,copper,,,
236,7/26/2023 5:35,5.82,32.94,21661329,copper,,,
237,7/26/2023 5:40,6.03,32.96,21661329,copper,,,
238,7/26/2023 5:45,5.96,32.96,21661329,copper,,,
239,7/26/2023 5:50,5.92,32.94,21661329,copper,,,
240,7/26/2023 5:55,5.84,32.92,21661329,copper,,,
241,7/26/2023 6:00,5.82,32.9,21661329,copper,,,
242,7/26/2023 6:05,6.02,32.88,21661329,copper,,,
243,7/26/2023 6:10,6.07,32.88,21661329,copper,,,
244,7/26/2023 6:15,6.01,32.88,21661329,copper,,,
245,7/26/2023 6:20,6.01,32.88,21661329,copper,,,
246,7/26/2023 6:25,5.97,32.9,21661329,copper,,,
247,7/26/2023 6:30,5.84,32.9,21661329,copper,,,
248,7/26/2023 6:35,5.79,32.9,21661329,copper,,,
249,7/26/2023 6:40,5.72,32.92,21661329,copper,,,
250,7/26/2023 6:45,5.74,32.92,21661329,copper,,,
251,7/26/2023 6:50,5.68,32.94,21661329,copper,,,
252,7/26/2023 6:55,5.52,32.92,21661329,copper,,,
253,7/26/2023 7:00,5.52,32.92,21661329,copper,,,
254,7/26/2023 7:05,5.57,32.94,21661329,copper,,,
255,7/26/2023 7:10,5.66,32.94,21661329,copper,,,
256,7/26/2023 7:15,5.83,32.96,21661329,copper,,,
257,7/26/2023 7:20,5.8,32.94,21661329,copper,,,
258,7/26/2023 7:25,5.67,32.96,21661329,copper,,,
259,7/26/2023 7:30,5.73,32.96,21661329,copper,,,
260,7/26/2023 7:35,5.76,32.98,21661329,copper,,,
261,7/26/2023 7:40,5.78,33.02,21661329,copper,,,
262,7/26/2023 7:45,5.71,33.02,21661329,copper,,,
263,7/26/2023 7:50,5.84,33.02,21661329,copper,,,
264,7/26/2023 7:55,5.85,33.08,21661329,copper,,,
265,7/26/2023 8:00,5.89,33.1,21661329,copper,,,
266,7/26/2023 8:05,5.92,33.12,21661329,copper,,,
267,7/26/2023 8:10,5.79,33.16,21661329,copper,,,
268,7/26/2023 8:15,5.89,33.16,21661329,copper,,,
269,7/26/2023 8:20,5.82,33.2,21661329,copper,,,
270,7/26/2023 8:25,5.74,33.2,21661329,copper,,,
271,7/26/2023 8:30,5.8,33.2,21661329,copper,,,
272,7/26/2023 8:35,5.84,33.18,21661329,copper,,,
273,7/26/2023 8:40,5.91,33.18,21661329,copper,,,
274,7/26/2023 8:45,5.93,33.2,21661329,copper,,,
275,7/26/2023 8:50,6.02,33.22,21661329,copper,,,
276,7/26/2023 8:55,6.04,33.24,21661329,copper,,,
277,7/26/2023 9:00,5.95,33.32,21661329,copper,,,
278,7/26/2023 9:05,6,33.38,21661329,copper,,,
279,7/26/2023 9:10,6,33.42,21661329,copper,,,
280,7/26/2023 9:15,6.02,33.44,21661329,copper,,,
281,7/26/2023 9:20,6.04,33.44,21661329,copper,,,
282,7/26/2023 9:25,6.02,33.48,21661329,copper,,,
283,7/26/2023 9:30,6.12,33.52,21661329,copper,,,
284,7/26/2023 9:35,6.18,33.56,21661329,copper,,,
285,7/26/2023 9:40,6.27,33.54,21661329,copper,,,
286,7/26/2023 9:45,6.26,33.52,21661329,copper,,,
287,7/26/2023 9:50,6.26,33.58,21661329,copper,,,
288,7/26/2023 9:55,6.38,33.64,21661329,copper,,,
289,7/26/2023 10:00,6.39,33.7,21661329,copper,,,
290,7/26/2023 10:05,6.46,33.74,21661329,copper,,,
291,7/26/2023 10:10,6.46,33.82,21661329,copper,,,
292,7/26/2023 10:15,6.49,33.86,21661329,copper,,,
293,7/26/2023 10:20,6.54,33.94,21661329,copper,,,
294,7/26/2023 10:25,6.51,33.98,21661329,copper,,,
295,7/26/2023 10:30,6.56,33.98,21661329,copper,,,
296,7/26/2023 10:35,6.6,33.94,21661329,copper,,,
297,7/26/2023 10:40,6.78,34,21661329,copper,,,
298,7/26/2023 10:45,6.79,34.08,21661329,copper,,,
299,7/26/2023 10:50,6.92,34.14,21661329,copper,,,
300,7/26/2023 10:55,6.96,34.2,21661329,copper,,,
301,7/26/2023 11:00,7.01,34.24,21661329,copper,,,
302,7/26/2023 11:05,7.03,34.22,21661329,copper,,,
303,7/26/2023 11:10,7.05,34.24,21661329,copper,,,
304,7/26/2023 11:15,7.1,34.28,21661329,copper,,,
305,7/26/2023 11:20,7.1,34.3,21661329,copper,,,
306,7/26/2023 11:25,7.36,34.36,21661329,copper,,,
307,7/26/2023 11:30,7.4,34.4,21661329,copper,,,
308,7/26/2023 11:35,7.29,34.46,21661329,copper,,,
309,7/26/2023 11:40,7.4,34.48,21661329,copper,,,
310,7/26/2023 11:45,7.36,34.5,21661329,copper,,,
311,7/26/2023 11:50,7.81,34.48,21661329,copper,,,
312,7/26/2023 11:55,7.83,34.46,21661329,copper,,,
313,7/26/2023 12:00,8.12,34.38,21661329,copper,,,
314,7/26/2023 12:05,8.11,34.38,21661329,copper,,,
315,7/26/2023 12:10,8.27,34.38,21661329,copper,,,
316,7/26/2023 12:15,8.18,34.42,21661329,copper,,,
317,7/26/2023 12:20,8.24,34.46,21661329,copper,,,
318,7/26/2023 12:25,8.2,34.48,21661329,copper,,,
319,7/26/2023 12:30,8.25,34.5,21661329,copper,,,
320,7/26/2023 12:35,8.27,34.56,21661329,copper,,,
321,7/26/2023 12:40,8.57,34.58,21661329,copper,,,
322,7/26/2023 12:45,8.74,34.66,21661329,copper,,,
323,7/26/2023 12:50,8.86,34.76,21661329,copper,,,
324,7/26/2023 12:55,9.05,34.86,21661329,copper,,,
325,7/26/2023 13:00,9.27,34.96,21661329,copper,,,
326,7/26/2023 13:05,9.47,35.06,21661329,copper,,,
327,7/26/2023 13:10,9.64,35.14,21661329,copper,,,
328,7/26/2023 13:15,9.78,35.22,21661329,copper,,,
329,7/26/2023 13:20,9.89,35.28,21661329,copper,,,
330,7/26/2023 13:25,9.92,35.34,21661329,copper,,,
331,7/26/2023 13:30,9.98,35.42,21661329,copper,,,
332,7/26/2023 13:35,9.97,35.46,21661329,copper,,,
333,7/26/2023 13:40,9.99,35.52,21661329,copper,,,
334,7/26/2023 13:45,10.05,35.6,21661329,copper,,,
335,7/26/2023 13:50,10.09,35.68,21661329,copper,,,
336,7/26/2023 13:55,10.05,35.72,21661329,copper,,,
337,7/26/2023 14:00,10.05,35.72,21661329,copper,,,
338,7/26/2023 14:05,10.05,35.78,21661329,copper,,,
339,7/26/2023 14:10,10.06,35.8,21661329,copper,,,
340,7/26/2023 14:15,10.13,35.84,21661329,copper,,,
341,7/26/2023 14:20,10.23,35.86,21661329,copper,,,
342,7/26/2023 14:25,10.24,35.92,21661329,copper,,,
343,7/26/2023 14:30,10.18,35.92,21661329,copper,,,
344,7/26/2023 14:35,10.25,35.96,21661329,copper,,,
345,7/26/2023 14:40,10.1,35.98,21661329,copper,,,
346,7/26/2023 14:45,10.23,36,21661329,copper,,,
347,7/26/2023 14:50,10.17,36.06,21661329,copper,,,
348,7/26/2023 14:55,10.2,36.04,21661329,copper,,,
349,7/26/2023 15:00,10.19,36.08,21661329,copper,,,
350,7/26/2023 15:05,10.1,36.12,21661329,copper,,,
351,7/26/2023 15:10,10.13,36.12,21661329,copper,,,
352,7/26/2023 15:15,9.97,36.1,21661329,copper,,,
353,7/26/2023 15:20,9.94,36.04,21661329,copper,,,
354,7/26/2023 15:25,9.92,36.02,21661329,copper,,,
355,7/26/2023 15:30,9.93,36,21661329,copper,,,
356,7/26/2023 15:35,9.96,35.96,21661329,copper,,,
357,7/26/2023 15:40,10.01,35.98,21661329,copper,,,
358,7/26/2023 15:45,9.93,36,21661329,copper,,,
359,7/26/2023 15:50,9.94,35.96,21661329,copper,,,
360,7/26/2023 15:55,9.95,35.98,21661329,copper,,,
361,7/26/2023 16:00,9.97,35.98,21661329,copper,,,
362,7/26/2023 16:05,9.91,35.96,21661329,copper,,,
363,7/26/2023 16:10,9.87,35.9,21661329,copper,,,
364,7/26/2023 16:15,9.9,35.9,21661329,copper,,,
365,7/26/2023 16:20,9.87,35.88,21661329,copper,,,
366,7/26/2023 16:25,9.8,35.82,21661329,copper,,,
367,7/26/2023 16:30,9.74,35.74,21661329,copper,,,
368,7/26/2023 16:35,9.83,35.7,21661329,copper,,,
369,7/26/2023 16:40,9.79,35.62,21661329,copper,,,
370,7/26/2023 16:45,9.76,35.54,21661329,copper,,,
371,7/26/2023 16:50,9.79,35.52,21661329,copper,,,
372,7/26/2023 16:55,9.76,35.46,21661329,copper,,,
373,7/26/2023 17:00,9.76,35.4,21661329,copper,,,
374,7/26/2023 17:05,9.84,35.38,21661329,copper,,,
375,7/26/2023 17:10,9.94,35.36,21661329,copper,,,
376,7/26/2023 17:15,9.99,35.4,21661329,copper,,,
377,7/26/2023 17:20,9.96,35.44,21661329,copper,,,
378,7/26/2023 17:25,9.9,35.42,21661329,copper,,,
379,7/26/2023 17:30,9.71,35.36,21661329,copper,,,
380,7/26/2023 17:35,9.73,35.24,21661329,copper,,,
381,7/26/2023 17:40,9.75,35.18,21661329,copper,,,
382,7/26/2023 17:45,9.8,35.14,21661329,copper,,,
383,7/26/2023 17:50,9.7,35.04,21661329,copper,,,
384,7/26/2023 17:55,9.52,34.92,21661329,copper,,,
385,7/26/2023 18:00,9.48,34.8,21661329,copper,,,
386,7/26/2023 18:05,9.53,34.7,21661329,copper,,,
387,7/26/2023 18:10,9.51,34.64,21661329,copper,,,
388,7/26/2023 18:15,9.54,34.6,21661329,copper,,,
389,7/26/2023 18:20,9.53,34.56,21661329,copper,,,
390,7/26/2023 18:25,9.51,34.54,21661329,copper,,,
391,7/26/2023 18:30,9.37,34.48,21661329,copper,,,
392,7/26/2023 18:35,9.34,34.42,21661329,copper,,,
393,7/26/2023 18:40,9.36,34.38,21661329,copper,,,
394,7/26/2023 18:45,9.3,34.36,21661329,copper,,,
395,7/26/2023 18:50,9.29,34.34,21661329,copper,,,
396,7/26/2023 18:55,9.23,34.3,21661329,copper,,,
397,7/26/2023 19:00,9.16,34.24,21661329,copper,,,
398,7/26/2023 19:05,9.13,34.16,21661329,copper,,,
399,7/26/2023 19:10,9.08,34.08,21661329,copper,,,
400,7/26/2023 19:15,9.03,34.02,21661329,copper,,,
401,7/26/2023 19:20,8.95,33.98,21661329,copper,,,
402,7/26/2023 19:25,8.92,33.92,21661329,copper,,,
403,7/26/2023 19:30,8.78,33.86,21661329,copper,,,
404,7/26/2023 19:35,8.68,33.8,21661329,copper,,,
405,7/26/2023 19:40,8.62,33.72,21661329,copper,,,
406,7/26/2023 19:45,8.56,33.68,21661329,copper,,,
407,7/26/2023 19:50,8.49,33.62,21661329,copper,,,
408,7/26/2023 19:55,8.44,33.58,21661329,copper,,,
409,7/26/2023 20:00,8.45,33.56,21661329,copper,,,
410,7/26/2023 20:05,8.4,33.52,21661329,copper,,,
411,7/26/2023 20:10,8.34,33.48,21661329,copper,,,
412,7/26/2023 20:15,8.28,33.44,21661329,copper,,,
413,7/26/2023 20:20,8.19,33.42,21661329,copper,,,
414,7/26/2023 20:25,8.23,33.38,21661329,copper,,,
415,7/26/2023 20:30,8.11,33.36,21661329,copper,,,
416,7/26/2023 20:35,8.18,33.34,21661329,copper,,,
417,7/26/2023 20:40,8.24,33.34,21661329,copper,,,
418,7/26/2023 20:45,7.78,33.28,21661329,copper,,,
419,7/26/2023 20:50,7.72,33.2,21661329,copper,,,
420,7/26/2023 20:55,7.56,33.16,21661329,copper,,,
421,7/26/2023 21:00,7.28,33.1,21661329,copper,,,
422,7/26/2023 21:05,7.13,33.06,21661329,copper,,,
423,7/26/2023 21:10,7.01,33.04,21661329,copper,,,
424,7/26/2023 21:15,6.89,33,21661329,copper,,,
425,7/26/2023 21:20,6.81,32.98,21661329,copper,,,
426,7/26/2023 21:25,6.74,32.98,21661329,copper,,,
427,7/26/2023 21:30,6.6,32.96,21661329,copper,,,
428,7/26/2023 21:35,6.59,32.96,21661329,copper,,,
429,7/26/2023 21:40,6.69,32.96,21661329,copper,,,
430,7/26/2023 21:45,6.63,32.96,21661329,copper,,,
431,7/26/2023 21:50,6.63,32.96,21661329,copper,,,
432,7/26/2023 21:55,6.68,32.96,21661329,copper,,,
433,7/26/2023 22:00,6.63,32.96,21661329,copper,,,
434,7/26/2023 22:05,6.72,32.98,21661329,copper,,,
435,7/26/2023 22:10,6.74,33,21661329,copper,,,
436,7/26/2023 22:15,6.86,33.04,21661329,copper,,,
437,7/26/2023 22:20,7.01,33.06,21661329,copper,,,
438,7/26/2023 22:25,7.07,33.12,21661329,copper,,,
439,7/26/2023 22:30,7.25,33.16,21661329,copper,,,
440,7/26/2023 22:35,7.3,33.22,21661329,copper,,,
