
Model:	LI-1500 Light Sensor Logger	
Config:	BIOFOULC	
MULT_1:	-155.10
Session Remark:	 	
Software Version:	1.2.0	
Timestamp:	20230822 10:26:49	
DATAH	Record	Date	Time	INPUT1	CHK	
DATA	0000071	2023-08-22	12:42:01.207	591.89	 47
DATA	0000072	2023-08-22	12:43:01.210	577.53	 38
DATA	0000073	2023-08-22	12:44:01.213	561.47	 39
DATA	0000074	2023-08-22	12:45:01.216	547.69	 52
DATA	0000075	2023-08-22	12:46:01.219	532.16	 43
DATA	0000076	2023-08-22	12:47:01.222	517.57	 47
DATA	0000077	2023-08-22	12:48:01.224	501.81	 41
DATA	0000078	2023-08-22	12:49:01.227	485.65	 59
DATA	0000079	2023-08-22	12:50:01.230	469.09	 46
DATA	0000080	2023-08-22	12:51:01.233	453.77	 40
DATA	0000081	2023-08-22	12:52:01.236	438.29	 45
DATA	0000082	2023-08-22	12:53:01.239	422.03	 35
DATA	0000083	2023-08-22	12:54:01.242	406.51	 36
DATA	0000084	2023-08-22	12:55:01.245	390.32	 42
DATA	0000085	2023-08-22	12:56:01.247	372.66	 53
DATA	0000086	2023-08-22	12:57:01.250	356.83	 50
DATA	0000087	2023-08-22	12:58:01.253	339.57	 57
DATA	0000088	2023-08-22	12:59:01.256	323.19	 53
DATA	0000089	2023-08-22	13:00:01.259	306.66	 47
DATA	0000090	2023-08-22	13:01:00.262	289.00	 31
DATA	0000091	2023-08-22	13:02:00.265	271.00	 27
DATA	0000092	2023-08-22	13:03:00.267	252.66	 42
DATA	0000093	2023-08-22	13:04:00.270	235.63	 36
DATA	0000094	2023-08-22	13:05:00.273	217.57	 44
DATA	0000095	2023-08-22	13:06:00.276	202.32	 36
DATA	0000096	2023-08-22	13:07:00.279	184.11	 47
DATA	0000097	2023-08-22	13:08:00.282	166.31	 45
DATA	0000098	2023-08-22	13:09:00.285	148.13	 50
DATA	0000099	2023-08-22	13:10:00.288	128.80	 48
DATA	0000100	2023-08-22	13:11:00.291	109.14	 22
DATA	0000101	2023-08-22	13:12:00.293	90.062	 28
DATA	0000102	2023-08-22	13:13:00.296	73.181	 36
DATA	0000103	2023-08-22	13:14:00.299	59.430	 42
DATA	0000104	2023-08-22	13:15:00.302	46.593	 35
DATA	0000105	2023-08-22	13:16:00.305	35.158	 35
DATA	0000106	2023-08-22	13:17:00.308	22.937	 41
DATA	0000107	2023-08-22	13:18:00.311	15.260	 28
DATA	0000108	2023-08-22	13:19:00.314	0.012291	130
DATA	0000109	2023-08-22	13:20:00.316	0.011246	124
DATA	0000110	2023-08-22	13:21:00.319	0.011843	123
DATA	0000111	2023-08-22	13:22:00.322	0.011544	117
DATA	0000112	2023-08-22	13:23:00.325	0.011395	126
DATA	0000113	2023-08-22	13:24:00.328	0.011096	129
DATA	0000114	2023-08-22	13:25:00.331	0.010798	133
DATA	0000115	2023-08-22	13:26:00.334	0.011096	130
DATA	0000116	2023-08-22	13:27:00.337	0.010648	137
DATA	0000117	2023-08-22	13:28:00.339	0.011843	139
DATA	0000118	2023-08-22	13:29:00.342	0.011096	135
